errors,uncertainties,accuracy,iteration
0.01,0.25,0.5208333333333334,1
0.01,0.25,0.5208333333333334,1
0.01,0.25,0.5208333333333334,1
0.05,0.25,0.5434782608695652,1
0.05,0.25,0.5434782608695652,1
0.05,0.25,0.5434782608695652,1
0.1,0.25,0.5333333333333333,1
0.1,0.25,0.5333333333333333,1
0.1,0.25,0.5333333333333333,1
0.15,0.25,0.5365853658536586,1
0.15,0.25,0.5365853658536586,1
0.15,0.25,0.5365853658536586,1
0.2,0.25,0.0,1
0.2,0.25,0.0,1
0.2,0.25,0.0,1
0.25,0.25,,1
0.25,0.25,,1
0.25,0.25,,1
0.3,0.25,,1
0.3,0.25,,1
0.3,0.25,,1
0.01,0.3,0.5208333333333334,1
0.01,0.3,0.5208333333333334,1
0.01,0.3,0.5208333333333334,1
0.05,0.3,0.5208333333333334,1
0.05,0.3,0.5208333333333334,1
0.05,0.3,0.5208333333333334,1
0.1,0.3,0.5217391304347826,1
0.1,0.3,0.5217391304347826,1
0.1,0.3,0.5217391304347826,1
0.15,0.3,0.4782608695652174,1
0.15,0.3,0.4782608695652174,1
0.15,0.3,0.4782608695652174,1
0.2,0.3,0.475,1
0.2,0.3,0.475,1
0.2,0.3,0.475,1
0.25,0.3,0.0,1
0.25,0.3,0.0,1
0.25,0.3,0.0,1
0.3,0.3,,1
0.3,0.3,,1
0.3,0.3,,1
0.01,0.01,1.0,2
0.01,0.01,1.0,2
0.01,0.01,1.0,2
0.05,0.01,1.0,2
0.05,0.01,1.0,2
0.05,0.01,1.0,2
0.1,0.01,0.925925925925926,2
0.1,0.01,0.925925925925926,2
0.1,0.01,0.925925925925926,2
0.15,0.01,0.0,2
0.15,0.01,0.0,2
0.15,0.01,0.0,2
0.2,0.01,0.0,2
0.2,0.01,0.0,2
0.2,0.01,0.0,2
0.25,0.01,,2
0.25,0.01,,2
0.25,0.01,,2
0.3,0.01,,2
0.3,0.01,,2
0.3,0.01,,2
0.01,0.05,1.0,2
0.01,0.05,1.0,2
0.01,0.05,1.0,2
0.05,0.05,0.8928571428571429,2
0.05,0.05,0.8928571428571429,2
0.05,0.05,0.8928571428571429,2
0.1,0.05,0.8620689655172413,2
0.1,0.05,0.8620689655172413,2
0.1,0.05,0.8620689655172413,2
0.15,0.05,0.3636363636363636,2
0.15,0.05,0.3636363636363636,2
0.15,0.05,0.3636363636363636,2
0.2,0.05,0.0,2
0.2,0.05,0.0,2
0.2,0.05,0.0,2
0.25,0.05,,2
0.25,0.05,,2
0.25,0.05,,2
0.3,0.05,,2
0.3,0.05,,2
0.3,0.05,,2
0.01,0.1,0.5681818181818182,2
0.01,0.1,0.5681818181818182,2
0.01,0.1,0.5681818181818182,2
0.05,0.1,0.6410256410256411,2
0.05,0.1,0.6410256410256411,2
0.05,0.1,0.6410256410256411,2
0.1,0.1,0.7142857142857143,2
0.1,0.1,0.7142857142857143,2
0.1,0.1,0.7142857142857143,2
0.15,0.1,0.5757575757575758,2
0.15,0.1,0.5757575757575758,2
0.15,0.1,0.5757575757575758,2
0.2,0.1,0.0625,2
0.2,0.1,0.0625,2
0.2,0.1,0.0625,2
0.25,0.1,0.0,2
0.25,0.1,0.0,2
0.25,0.1,0.0,2
0.3,0.1,0.0,2
0.3,0.1,0.0,2
0.3,0.1,0.0,2
0.01,0.15,0.5555555555555556,2
0.01,0.15,0.5555555555555556,2
0.01,0.15,0.5555555555555556,2
0.05,0.15,0.5555555555555556,2
0.05,0.15,0.5555555555555556,2
0.05,0.15,0.5555555555555556,2
0.1,0.15,0.5681818181818182,2
